kabupaten_kota;gabah_kering_panen;gabah_kering_giling;beras_medium;beras_premium;hama_tikus;wereng_batang_coklat;penggerek_batang_padi;hama_kresek;hama_tungro;hama_blas;dampak_kekeringan;dampak_banjir;periode_update
Sidoarjo;3,89;4,773;8,95;10,25;24.3;0;17.25;35.8;0;0;0;0;Apr-21
Mojokerto;4,004;7,403;8,703;10,372;5.7;0;7.95;17.9;0.2;1.4;0;0;Apr-21
Jombang;4,125;5,075;8,475;10,5;0;0;0.84;6.5;0;0;0;0;Apr-21
Nganjuk;3,922;5,021;8,75;10,5;17.91;0.75;1.55;5.4;0;0;0;0;Apr-21
Madiun;4,163;5,063;8,515;9,5;2;0.5;0;1.17;0;0.44;0;71.74;Apr-21
Magetan;4,233;4,873;8,578;9;3.55;0;0.2;0.1;0;8.36;0;0;Apr-21
Ngawi;3,956;5,079;8,861;10,169;20.86;6.07;7.62;0.6;0;0.5;0;230.5;Apr-21
Bojonegoro;4,195;5,15;8,35;9,75;56;2;44.6;11.5;0;5.75;0;0;Apr-21
Tuban;4,194;5,15;8,33;10,485;17.38;0;4.3;10.3;0;6.83;0;0;Apr-21
Lamongan;4,048;5,203;8,336;9,636;183.3;0;10.6;13.2;0;0;0;0;Apr-21
Gresik;4,163;5,068;8,625;9,675;74.15;0;1.35;19.65;0;1.15;0;7;Apr-21
Bangkalan;4;5;8;10,75;8.5;0.5;20.6;18;0;13.5;0;0;Apr-21
Sampang;4,036;5,163;7,674;9,954;0;0;2.5;40.6;0;44.1;0;0;Apr-21
Pamekasan;4;5,021;8,008;;0;0;0;8.7;0;12;0;0;Apr-21
Sumenep;;;7,636;;18;0;57;27;0;53;0;0;Apr-21
Kota Kediri;;;;;1.2;0;0;0;0;0;0;0;Apr-21
Kota Blitar;;;;;0;0;0;0;0;0.84;0;0;Apr-21
Kota Malang;;;;;0;0;4.5;10;0;0;0;0;Apr-21
Kota Probolinggo;;;;;1.5;0;9;7.15;0;1;0;0;Apr-21
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Apr-21
Kota Mojokerto;;;;;0;0;1.3;1.45;0;0;0;0;Apr-21
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Apr-21
Kota Surabaya;;;;;0.5;0;2;3.25;0;0;0;0;Apr-21
Kota Batu;;;;;1;1;0;3;0;0;0;0;Apr-21
Pacitan;4,025;5,04;8,5;11;32;0;0;2;0;2.5;56;0;Mei 2021
Ponorogo;4,215;5,113;8,465;10;15.66;0;15;1.33;0;0;0;0;Mei 2021
Trenggalek;3,713;4,65;7,733;8,2;10.78;1.95;1.57;3.87;0;1.04;28.5;0;Mei 2021
Tulungagung;3,929;4,993;8,382;9,281;24.81;0.7;5.6;7.25;0;0.9;0;0;Mei 2021
Blitar;4,138;5,24;8,458;9,343;7.1;0.5;3.05;4.68;0;0;0;0;Mei 2021
Kediri;3,708;4,704;8,009;10,25;8.37;0;6.36;7.2;0;0;0;0;Mei 2021
Malang;4,6;5,55;9,25;10,1;18.9;0;14.2;49.6;0;1.75;0;0;Mei 2021
Lumajang;;;;;16.75;2.1;63.7;33.05;0;0.2;3.1;4.96;Mei 2021
Jember;4,005;4,965;8,6;10,375;3.95;1.75;8.5;10.8;1.7;8.85;0;0;Mei 2021
Banyuwangi;4,154;5,079;8,87;9,965;2.75;5.45;22.85;11.25;0;2.25;0;0;Mei 2021
Bondowoso;3,967;5;9,367;10,267;0;0;19.7;28.7;2.3;4.15;0.2;0;Mei 2021
Situbondo;4,102;5,281;9,002;10,002;0;0;32.4;9.1;6.2;2.8;250;0;Mei 2021
Probolinggo;4,04;5,06;8,94;10,135;1.3;0;8.2;6.2;4.2;5.3;0;0;Mei 2021
Pasuruan;3,976;4,781;9;9,5;2.43;0.48;6.57;5.7;2.55;0;0;0;Mei 2021
Sidoarjo;3,89;4,773;8,95;10,25;67.1;0;3;4.3;0;0;0;0;Mei 2021
Mojokerto;4,004;7,403;8,703;10,372;6.73;0.83;5.21;15.22;0;1.15;0;0;Mei 2021
Jombang;4,125;5,075;8,475;10,5;40.52;2;6.34;14;0;0.28;0;0;Mei 2021
Nganjuk;3,922;5,021;8,75;10,5;44.29;0.68;0.34;6.48;0;0.1;0;0;Mei 2021
Madiun;4,163;5,063;8,515;9,5;40.25;0;5.58;37.73;0;2.03;0;0;Mei 2021
Magetan;4,233;4,873;8,578;9;0.9;0;0;1.25;0;2.54;0;0;Mei 2021
Ngawi;3,956;5,079;8,861;10,169;23.64;3.87;8.89;1.7;0;0.2;0;0;Mei 2021
Bojonegoro;4,195;5,15;8,35;9,75;244.4;3;79.9;47;0;12.5;1588.5;0;Mei 2021
Tuban;4,194;5,15;8,33;10,485;81.53;0;25.6;0;0;1.2;5;0;Mei 2021
Lamongan;4,048;5,203;8,336;9,636;203.1;0;13.4;34.2;0;10;3759.7;0;Mei 2021
Gresik;4,163;5,068;8,625;9,675;43.8;0;4.75;12.9;0;3.3;150;0;Mei 2021
Bangkalan;4;5;8;10,75;9.5;0;23.3;46;0;38.5;40;0;Mei 2021
Sampang;4,036;5,163;7,674;9,954;21;0;0;27.2;0;46.7;133.5;0;Mei 2021
Pamekasan;4;5,021;8,008;;0;0;0;11.3;0;10.7;0;0;Mei 2021
Sumenep;;;7,636;;105.4;0;58.8;49.2;0;30.7;0;0;Mei 2021
Kota Kediri;;;;;0.31;0;0;0;0;0;0;0;Mei 2021
Kota Blitar;;;;;0;0;0;0;0;0;0;0;Mei 2021
Kota Malang;;;;;1;0;4;4;0;0;0;0;Mei 2021
Kota Probolinggo;;;;;3.1;0;5.1;3.2;0.35;0;0;0;Mei 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Mei 2021
Kota Mojokerto;;;;;0;0;0.6;0.75;0;0;0;0;Mei 2021
Kota Madiun;;;;;1;0;0;0;0;0;0;0;Mei 2021
Kota Surabaya;;;;;0;0;2.8;3.7;0;0;0;0;Mei 2021
Kota Batu;;;;;2;0;0;3.75;0;0;0;0;Mei 2021
Pacitan;4,078;5,197;8,5;10,5;20;0;0;2;0;2;0;0;Juni 2021
Ponorogo;4,142;5,049;8,455;10;6.38;63.96;0;29.51;0;8.83;0;0;Juni 2021
Trenggalek;3,642;4,8;7,8;8,2;11.2;73.76;0.69;3.6;0;0.36;35;3;Juni 2021
Tulungagung;3,939;4,907;8,383;9,3;74.79;3.42;13.6;13.45;0;0.5;73;0;Juni 2021
Blitar;4,052;5,184;8,432;9,275;9.3;5.56;1.44;0.53;0;0.35;0;0;Juni 2021
Kediri;4,004;5,01;8,048;10;7.72;36.41;3.29;5.3;0;0.21;0;0.5;Juni 2021
Malang;4,65;5,593;9,4;10;8.95;0.25;19.85;44;0;3.1;0;0;Juni 2021
Lumajang;;;;;12.95;4.6;59.6;61.05;0.2;0.4;0;28;Juni 2021
Jember;4,213;5,226;8,921;10,551;15.25;6;5.2;28.8;0;10.1;0;0;Juni 2021
Banyuwangi;4,273;5,176;9;10;9.25;8.15;23.6;5.5;2.25;3.8;0;0;Juni 2021
Bondowoso;4,15;5,2;;10;0;1.75;20.25;25.9;3;5.3;0;0;Juni 2021
Situbondo;4,202;5,3;9;10;0;6.55;17.5;4.7;2.6;0;0;0;Juni 2021
Probolinggo;4,156;5,152;8,932;10,245;2.4;1.2;10.25;7.65;0.6;0.5;0;0;Juni 2021
Pasuruan;4,044;5;9,183;9,677;1.75;10.23;2.09;1.2;3.7;0.25;0;0;Juni 2021
Sidoarjo;4,275;5,117;8,625;9,9;402.8;0;0.5;3.95;0;0;0;0;Juni 2021
Mojokerto;4,15;5,167;8,542;9,557;14.84;15.02;2.4;11.47;0;0.28;0;0;Juni 2021
Jombang;4,225;5,2;8,5;10;207.36;42.15;0.49;5.5;0;0.5;0;0;Juni 2021
Nganjuk;4,117;4,983;9,5;11;31.38;9.56;1.7;2.5;0;0;0;0;Juni 2021
Madiun;4,173;5,139;8,597;9,448;16.74;60.66;8.6;43.05;0;23.16;0;6;Juni 2021
Magetan;3,791;4,475;8,1;8,7;0;10.45;0;0;0;1.55;0;0;Juni 2021
Ngawi;3,921;4,858;8,408;9,66;28.57;11.77;11.43;5.19;0;0.5;0;0;Juni 2021
Bojonegoro;4,117;5,15;8,317;9,75;76.25;204.5;72.9;25;0;3.25;445;0;Juni 2021
Tuban;4,465;5,325;8,359;10,4;138.1;0;36.4;0;0;5.7;32;0;Juni 2021
Lamongan;4,264;5,252;8,349;9,832;154.25;0.92;131.05;36.65;0;29.3;2176;50;Juni 2021
Gresik;4,344;5,328;8,75;9,75;22.95;0;7.8;2.7;0;6.6;316;0;Juni 2021
Bangkalan;4,3;5,2;8,377;10,757;13;0;37;7.3;0;8.3;0;0;Juni 2021
Sampang;4,05;4,986;7,96;10,208;0;0;0;5.4;0;27.1;71.5;0;Juni 2021
Pamekasan;4;5,025;8;;26;0;0;8.4;0;6.7;0;0;Juni 2021
Sumenep;;;7,67;;86.4;0;0;55.8;0;59.3;0;0;Juni 2021
Kota Kediri;;;;;1.4;0.26;0;0;0;0;0;0;Juni 2021
Kota Blitar;;;;;0;1.12;0;0;0;0;0;0;Juni 2021
Kota Malang;;;;;0;0;4;3.5;0;0;0;0;Juni 2021
Kota Probolinggo;;;;;5.6;0;5.7;2.05;0;0;0;0;Juni 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Juni 2021
Kota Mojokerto;;;;;0.5;0;0;0;0;0;0;0;Juni 2021
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Juni 2021
Kota Surabaya;;;;;0.5;0;1.3;2;0;0;0.8;0;Juni 2021
Kota Batu;;;;;0;0;0;0;0;0;0;0;Juni 2021
Pacitan;3,904;4,845;7,589;10,179;;;;;;;0;0;Juli 2021
Ponorogo;3,93;4,564;8,3;10;0;0;0;2;0;0.1;0;0;Juli 2021
Trenggalek;3,8;4,8;7,8;8,2;1.53;17.96;0;0;0;6.84;0;0;Juli 2021
Tulungagung;3,923;4,732;8,237;9,008;1.54;9.55;0.35;4.73;0;2.91;0;0;Juli 2021
Blitar;3,947;4,979;8,063;9,113;42.47;4.66;7;2.55;0;2.18;0;0;Juli 2021
Kediri;3,792;4,8;7,894;10;6.78;1.63;0.83;0.73;0;0.56;0;0;Juli 2021
Malang;4,298;5,218;9,05;9,738;5.4;25.76;0.46;2.05;0;0;0;0;Juli 2021
Lumajang;3,7;;;;8.15;0.2;8.7;25.8;0;3.2;0;0;Juli 2021
Jember;3,842;4,842;8,571;10,054;1.1;11.35;74;29.8;0;1.95;0;0;Juli 2021
Banyuwangi;4,094;4,985;8,801;9,956;12;17.6;5.6;6;0.8;5.6;0;0;Juli 2021
Bondowoso;4,027;5,188;9,019;10;6.25;4.75;10.95;4.6;0.25;6.8;0;0;Juli 2021
Situbondo;3,89;5,17;8,9;9,95;0;2;19.85;26.1;1.85;15;0;0;Juli 2021
Probolinggo;3,973;4,96;8,87;9,861;5.7;12;11.05;11.5;0;0.4;0;0;Juli 2021
Pasuruan;4,104;5,048;9,1;9,6;3;7.2;9.7;4.35;3.6;5;0;0;Juli 2021
Sidoarjo;3,996;5,038;8,725;9,775;2.3;8.3;8.15;3.45;4;0;0;0;Juli 2021
Mojokerto;3,968;5,009;8,367;9,6;647.55;1.4;7;10.7;0;0;0;0;Juli 2021
Jombang;;;;;23.16;8.41;8.12;15.89;0;0.49;0;0;Juli 2021
Nganjuk;3,928;4,767;9,5;11;30.12;19.42;2.2;21.1;0;0.5;0;0;Juli 2021
Madiun;3,937;4,95;8,55;9,5;5.37;0.84;0.14;3.29;0;0;0;0;Juli 2021
Magetan;3,752;4,152;7,921;9,004;0;20.76;2.15;4.82;0;10.56;0;0;Juli 2021
Ngawi;3,94;4,997;8,511;9,772;0;0;0;0;0;0.25;0;0;Juli 2021
Bojonegoro;4,075;4,963;7,913;9,188;10.76;5.35;3.62;5.1;0;0.1;0;0;Juli 2021
Tuban;4,036;5,079;8,3;10,4;60;22.5;29.5;10;0;0;0;0;Juli 2021
Lamongan;3,975;5,113;8,2;9,631;114.55;4.75;6.5;1.5;0;13.85;0;0;Juli 2021
Gresik;4,073;4,825;8,54;9,453;20.4;4.7;36.55;11.9;0;41.75;0;0;Juli 2021
Bangkalan;4,188;5,275;8,3;10,8;24.25;2.25;5.6;2.7;0;2.1;0;0;Juli 2021
Sampang;4,2;5,033;7,963;10,029;3.6;0;13.1;15.7;0;5.3;0;0;Juli 2021
Pamekasan;4;5,025;8,027;;0;0;0;3;0;4.5;0;0;Juli 2021
Sumenep;;;8;;10.7;0;0;0.2;0;1;0;0;Juli 2021
Kota Kediri;;;;;3;0;0;2.9;0;91.5;0;0;Juli 2021
Kota Blitar;;;;;0;0;0;0;0;0;0;0;Juli 2021
Kota Malang;;;;;0;0;0;0;0;0;0;0;Juli 2021
Kota Probolinggo;;;;;0;0;4.5;2.5;0;0;0;0;Juli 2021
Kota Pasuruan;;;;;0.4;0;3.65;1.15;0;0;0;0;Juli 2021
Kota Mojokerto;;;;;0;0;0;0;0;0;0;0;Juli 2021
Kota Madiun;;;;;2.05;0;0;0;0;0;0;0;Juli 2021
Kota Surabaya;;;;;0;0.42;0;0;0;0;0;0;Juli 2021
Kota Batu;;;;;0;0.25;0;0;0;0;0;0;Juli 2021
Pacitan;4;4,96;7,5;10;0;0;0;0;0;0;0;0;Agustus 2021
Ponorogo;4,485;4,773;8,15;10;;;;;;;0;0;Agustus 2021
Trenggalek;3,85;4,5;7,519;8;46.1;0;0;0;0;15.57;24;0;Agustus 2021
Tulungagung;4,071;4,845;8,164;9,198;0;0;0;0;0;0.64;0;0;Agustus 2021
Blitar;4,157;5,157;8,238;9,194;4.37;12.9;1.1;1.12;0;0;0;0;Agustus 2021
Kediri;3,817;4,867;7,817;10;12.42;1.38;3.64;2.74;0;2.3;0;0;Agustus 2021
Malang;4,217;5,117;8,917;9,617;2.34;0;3.38;0.14;0;0;0;0;Agustus 2021
Lumajang;;;;;0.53;4.41;1.73;2.55;0;0;0;0;Agustus 2021
Jember;4,161;5,084;8,568;10,114;9.7;0.2;19.9;28.9;0;2.1;0;0;Agustus 2021
Banyuwangi;4,167;5,067;8,722;9,9;3.05;7.8;48.85;25.6;0;1.2;0;0;Agustus 2021
Bondowoso;4,069;5,06;8,946;10;6;9.6;4.4;5.6;0.4;5.1;0;0;Agustus 2021
Situbondo;4,054;4,857;8,804;9,807;2.95;6;14.75;2;3.75;7.55;0;0;Agustus 2021
Probolinggo;4,04;5,019;8,688;9,856;0;2;20.4;19.3;1.6;17.5;0;0;Agustus 2021
Pasuruan;4,048;5,019;8,888;9,333;0;1.6;10.7;2.8;1.1;0;0;0;Agustus 2021
Sidoarjo;4,35;5,069;8,8;9,8;0.7;1.5;8.8;2.95;1.2;1.9;0;0;Agustus 2021
Mojokerto;4,075;5,05;8,4;9,65;3.8;1.6;8.52;5.1;3.45;0.75;0;0;Agustus 2021
Jombang;4,3;5,2;8,5;10;320.55;12;5.85;8.3;0;0.1;0;0;Agustus 2021
Nganjuk;4,15;4,938;9,5;11;9.8;6.55;4.09;10.65;0;0;0;0;Agustus 2021
Madiun;4,557;5,113;8,588;9,5;3.68;0.7;1;3;0;4.28;0;0;Agustus 2021
Magetan;;4,696;8,285;9,45;1.64;0;0;1.8;0;0;0;0;Agustus 2021
Ngawi;4,75;5,381;8,75;10,831;5.5;0.2;0.95;4.25;0;0.14;0;0;Agustus 2021
Bojonegoro;4,565;5,065;8,052;9,042;0;0;0;0.76;0;0;0;0;Agustus 2021
Tuban;4,638;5,325;8,119;10,269;43.84;7.52;3.21;1.49;0;0.44;0;0;Agustus 2021
Lamongan;4,332;5,331;8,335;9,8;89.75;2;11.5;20;0;3;0;0;Agustus 2021
Gresik;4,767;5,477;8,575;9,55;48.3;0;23.4;16.1;0;33;0;0;Agustus 2021
Bangkalan;4,2;5,3;8,3;10,8;9.7;8.18;70;32.9;0;35.85;0;0;Agustus 2021
Sampang;;5,063;8,109;10,2;13.95;0;6.6;1.4;0;3.61;0;0;Agustus 2021
Pamekasan;4;5,025;8,042;;3;0;3;8;0;0;0;0;Agustus 2021
Sumenep;;;7,593;;0;0;0;0;0;1.15;0;0;Agustus 2021
Kota Kediri;;;;;0;0;0;0;0;1;0;0;Agustus 2021
Kota Blitar;;;;;0;0;0;3.7;0;5;0;0;Agustus 2021
Kota Malang;;;;;0;0.1;0;0;0;0;0;0;Agustus 2021
Kota Probolinggo;;;;;0;0;0;0;0;0;0;0;Agustus 2021
Kota Pasuruan;;;;;0;0;2.5;2;0;0;0;0;Agustus 2021
Kota Mojokerto;;;;;0;0;2.55;2.2;0;0;0;0;Agustus 2021
Kota Madiun;;;;;0;0;0;0;0.8;0;0;0;Agustus 2021
Kota Surabaya;;;;;2.25;0.25;0;0;0;0;0;0;Agustus 2021
Kota Batu;;;;;0.35;0;0;0.35;0;0;0;0;Agustus 2021
Pacitan;;4,963;7,5;10;0;0;0;0;0;0;0;0;Sep-21
Ponorogo;4,675;5,102;8,147;10;0;0;0;0.3;0;0;0;0;Sep-21
Trenggalek;4;4,475;7,65;8;;;;;;;0;0;Sep-21
Tulungagung;4,043;4,774;8,157;9,006;1;0;0;0;0;5;0;0;Sep-21
Blitar;4,3;5,3;8,3;9,2;1.58;0;9.5;0;0;0;0;0;Sep-21
Kediri;4,033;5,233;7,822;10;5.51;6.24;0.39;1.23;0;0.47;0;0;Sep-21
Malang;4,208;5,125;8,908;9,733;12.58;0.76;1.6;1.2;0;2.5;0;0;Sep-21
Lumajang;4,384;5,083;9,181;10,313;2.8;0.5;1.28;0.14;0;0;0;0;Sep-21
Jember;4,316;5,373;8,688;10,325;0.25;0;2.89;2.03;0;0;0;0;Sep-21
Banyuwangi;4,439;5,336;8,906;10,5;14.65;0;21.05;24;0;2;0;0;Sep-21
Bondowoso;4,292;5,254;9,05;10;5.25;4;40.6;36.25;0;1.7;0;0;Sep-21
Situbondo;4,4;5,222;8,9;10;1;3.2;6.75;3.25;0.45;2.8;0;0;Sep-21
Probolinggo;4,314;5,226;8,929;10,007;3.5;4.4;14.7;2.2;1.5;0.75;0;0;Sep-21
Pasuruan;4,218;5,125;8,925;9,4;0;0;16;22.15;2.6;7.4;0;0;Sep-21
Sidoarjo;4,696;4,981;8,818;9,943;0;0;7.5;3.9;0.7;0;0;0;Sep-21
Mojokerto;4,356;5,191;8,593;9,563;3.95;0;6.45;6.15;3.3;6.5;0;0;Sep-21
Jombang;4,4;5,2;8,5;10;0.9;0;7.84;4.95;3.49;0;0;0;Sep-21
Nganjuk;4,167;5;9;11;60.3;0;42.25;8.1;0;0;0;0;Sep-21
Madiun;4,653;5,15;8,6;9,5;7.41;0;3.79;8.69;0;0.35;0.14;0;Sep-21
Magetan;;4,831;8,279;9,7;23.5;0;0;0;0;0;0;0;Sep-21
Ngawi;;5,094;8,084;11;4.56;0;0.25;3.33;0;0;0;0;Sep-21
Bojonegoro;4,79;5,22;8,25;9,25;17.85;0.45;0;10.77;0;1.12;0;0;Sep-21
Tuban;4,761;5,565;8,31;10,4;0;0;0;0;0;0;0;0;Sep-21
Lamongan;4,604;5,452;8,354;9,813;48.4;4.6;1.54;4.9;0;0.2;5;0;Sep-21
Gresik;4,825;5,5;8,6;;36.5;0;26.5;10;0;13;0.2;0;Sep-21
Bangkalan;4,2;5,3;7,927;10,8;15.25;0;18.7;13.5;0;48.9;0;0;Sep-21
Sampang;;5,339;8,495;10,5;19.9;0;75.82;10.2;0;30.21;0;0;Sep-21
Pamekasan;4;5,025;8,071;;8.2;0;5;1.85;0;0.5;0;0;Sep-21
Sumenep;;;7,5;;6;0;7.5;3;0;0;0;0;Sep-21
Kota Kediri;;;;;0;0;0;1.6;0;0.75;0;0;Sep-21
Kota Blitar;;;;;0;0;0;0.5;0;1;0;0;Sep-21
Kota Malang;;;;;0;0;0;3;0;3;0;0;Sep-21
Kota Probolinggo;;;;;0;0;0;0;0;0;0;0;Sep-21
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Sep-21
Kota Mojokerto;;;;;0.5;0;1.1;1.9;0;0;0;0;Sep-21
Kota Madiun;;;;;0.5;0;3.1;0;0;0;0;0;Sep-21
Kota Surabaya;;;;;0;0;0.2;2.4;0.8;0;0;0;Sep-21
Kota Batu;;;;;0.95;0;0;0.8;0;0;0;0;Sep-21
Pacitan;;5,15;8;10;1.26;0;0.28;0.7;0;0;5.34;0;Oktober 2021
Ponorogo;4,202;5,388;8,25;10;0;0;0;0;0;0;0;0;Oktober 2021
Trenggalek;4,02;4,745;7,7;8;0;0;0.6;0.3;0;0;0;0;Oktober 2021
Tulungagung;4,134;4,988;8,26;8,98;;;;;;;0;0;Oktober 2021
Blitar;4,346;5,568;8,4;9,3;0;0;0;0.5;0;0;0;0;Oktober 2021
Kediri;4,35;5,738;8;10;1.4;0;1.5;12.35;0;0.64;0;0;Oktober 2021
Malang;4,367;5,3;;;2.07;0.5;1.15;2.85;0;1.27;0;0;Oktober 2021
Lumajang;4,32;5,569;10,125;10,75;6.77;0.74;5.16;3.2;0;0;0;0;Oktober 2021
Jember;4,447;5,505;8,7;10,4;0.79;0;1.5;0.21;0;0;0;0;Oktober 2021
Banyuwangi;4,473;5,53;8,9;10,5;0.5;0;1.44;1.27;0;0.25;0;0;Oktober 2021
Bondowoso;4,483;5,7;9;10;6.3;1.1;21.15;29.1;0;1.1;0;0;Oktober 2021
Situbondo;4,475;5,575;8,9;9,8;1.75;0.5;46.35;47.85;0;1.7;0;0;Oktober 2021
Probolinggo;4,344;5,395;8,925;10;1;0.9;3.75;11;0.3;5.4;0;0;Oktober 2021
Pasuruan;4,4;5,5;9,2;9,6;0;0;17.75;7.6;0.5;2.7;0;0;Oktober 2021
Sidoarjo;4,653;5,395;8,517;10;0;0;20.25;22.35;3.35;5;0;0;Oktober 2021
Mojokerto;4,471;5,556;8,875;10,05;0;0;2.8;5.6;2.1;0;0;0;Oktober 2021
Jombang;;;;;2.6;0;12.65;1.75;1.7;1.2;0;0;Oktober 2021
Nganjuk;4,7;5,25;8;11;1;0;11.67;5.25;1.85;0;0;0;Oktober 2021
Madiun;4,683;5,288;8,6;9,5;27.5;0;44.85;15.4;0;0.5;0;0;Oktober 2021
Magetan;4,2;4,865;8;9,7;6.4;0;1.83;6.57;0;0;0;0;Oktober 2021
Ngawi;4,761;5,371;8,65;11;2.5;0;0;5;0;0;0;0;Oktober 2021
Bojonegoro;4,853;5,806;8,25;9,5;2.3;0;1.65;2.95;0;0;0;0;Oktober 2021
Tuban;4,781;5,6;8,3;10;19.41;1.65;0.42;23.48;0;5.18;0;0;Oktober 2021
Lamongan;4,6;5,628;8,3;9,8;1.05;0.81;0;0.35;0;0.2;0;0;Oktober 2021
Gresik;5;6,5;8,5;9,6;18.74;0.1;0.34;1.5;0;0.25;0;0;Oktober 2021
Bangkalan;;5,445;8,3;10,8;31;0;25.4;34.5;0;0;0;0;Oktober 2021
Sampang;;6,15;7,88;9,4;21.5;0;8.8;0;0;2.3;0;0;Oktober 2021
Pamekasan;4;5,149;7,5;8;36.75;0;47.53;16.8;0;8.9;0;0;Oktober 2021
Sumenep;;8;8;;3.85;0;2.45;2.25;0;0;0;0;Oktober 2021
Kota Kediri;;;;;2;0;0;6;0;1.5;0;0;Oktober 2021
Kota Blitar;;;;;0;0;0;0;0;0;0;0;Oktober 2021
Kota Malang;;;;;0;0;0;0;0;2;0;0;Oktober 2021
Kota Probolinggo;;;;;0.4;0;0;2.7;0;0;0;0;Oktober 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Oktober 2021
Kota Mojokerto;;;;;0;0;0;0;0;0;0;0;Oktober 2021
Kota Madiun;;;;;0;0;1;0.6;0;0;0;0;Oktober 2021
Kota Surabaya;;;;;0.4;0;1.35;0;0;0;0;0;Oktober 2021
Kota Batu;;;;;0;0;0.2;1.9;2.4;0;0;0;Oktober 2021
Pacitan;3,9;5,05;8;10;0.95;0;0;0.95;0;0;0;0;Nov-21
Ponorogo;4,217;5,047;8,163;10;0;0;0;0.28;0;0.56;0;0;Nov-21
Trenggalek;4,1;4,7;7,7;8,271;0;0;0;0;0;0;0;13.2;Nov-21
Tulungagung;4,364;5,108;8,297;9,086;0;0;0.3;0.6;0;0;0;0;Nov-21
Blitar;4,236;5,21;8,247;9,364;;;;;;;0;4;Nov-21
Kediri;4,4;5,4;8,033;10;0;0;0;0.25;0;0;0;0;Nov-21
Malang;4,522;5,364;8,933;9,7;0;0.92;0;3.5;0;1.5;0;0;Nov-21
Lumajang;4,583;5,417;10,333;12;1.54;0.32;2.05;2.28;0;0.15;0;43;Nov-21
Jember;4,418;5,305;8,96;10,55;6.77;0;7.38;7.13;0;0;0;0.25;Nov-21
Banyuwangi;4,57;5,465;8,9;10,5;2.77;0;1.86;0;0;0;0;59.5;Nov-21
Bondowoso;4,457;5,407;8,957;10;0.85;0;1.53;0.7;0;0.14;0;80;Nov-21
Situbondo;4,521;5,407;8,921;10;6.7;0;15.8;36.05;0;5.2;0;0;Nov-21
Probolinggo;4,44;5,242;8,718;10,586;0;0;61.29;34.15;0;4.4;0;0;Nov-21
Pasuruan;4,45;5,34;9,2;9,6;0;0;2.7;6.1;0;6.4;0;0;Nov-21
Sidoarjo;4,65;5,3;8,525;9,5;1.9;1.75;16.25;8.25;0.5;1.25;0;0;Nov-21
Mojokerto;4,47;5,34;8,645;9,9;0;0.5;28.8;8.15;3.3;3.1;0;0;Nov-21
Jombang;4,2;5,2;8,3;;0;0;3.6;3.4;0;0.25;0;24;Nov-21
Nganjuk;4,5;5,2;8;11;2.6;0;11.05;2.2;0.5;4;0;0;Nov-21
Madiun;4,633;5,1;8,6;9,5;1.6;0;10.52;4.8;4.2;0;0;0;Nov-21
Magetan;4,2;4,7;7,925;9,5;44.85;0;16.75;3.5;0;0;0;5.5;Nov-21
Ngawi;4,699;5,338;8,87;10,929;4.06;0;2.42;5.4;0;0;0;7;Nov-21
Bojonegoro;4,683;5,5;8,3;9,75;7.8;0.1;0;3.3;0;0;0;0;Nov-21
Tuban;4,66;5,6;8,3;10,4;2.23;0;2.3;2.87;0;0;0;2;Nov-21
Lamongan;4,595;5,44;8,3;9,8;4.92;0;1.61;17.38;0;2.07;0;366;Nov-21
Gresik;4,854;5,417;8,5;9,9;0;0;0;0;0;0.06;0;135;Nov-21
Bangkalan;;5,248;8,329;11,5;9.01;1.1;2.25;5.45;0;1.64;0;27;Nov-21
Sampang;;5,192;7,955;10;78.75;0;6;6;0;0;0;331;Nov-21
Pamekasan;4;5,025;7,5;8;1.9;0;0.5;0;0;0.3;0;0;Nov-21
Sumenep;;;8,15;;69.92;0;11.5;0;0;0;0;0;Nov-21
Kota Kediri;;;;;3.7;0;0.3;1.8;0;0.8;0;0;Nov-21
Kota Blitar;;;;;6;0;3;3.2;0;1.5;0;0;Nov-21
Kota Malang;;;;;1;0;0;0;0;0;0;0;Nov-21
Kota Probolinggo;;;;;0;0;0;0;0;0;0;0;Nov-21
Kota Pasuruan;;;;;1.3;0;0;1.8;0;1.3;0;0;Nov-21
Kota Mojokerto;;;;;0;0;0;0;0;0;0;0;Nov-21
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Nov-21
Kota Surabaya;;;;;0;0;2;1.9;0;0;0;0;Nov-21
Kota Batu;;;;;0;0;1.15;0.3;0;0;0;0;Nov-21
Pacitan;;5,1;8;10;0;0;0.85;0;0;0;0;0;Desember 2021
Ponorogo;4,825;5,201;8,193;10;0.5;0;0;0;0;0;0;0;Desember 2021
Trenggalek;4,185;4,86;7,85;8,375;0;0;0;0;0;0;0;1097.45;Desember 2021
Tulungagung;4,572;5,414;8,4;9,266;0;0;0;0;0;0;0;13.2;Desember 2021
